date,DGS10
1990-01-02,7.940000
1990-01-03,7.990000
1990-01-04,7.980000
1990-01-05,7.990000
1990-01-08,8.020000
1990-01-09,8.020000
1990-01-10,8.030000
1990-01-11,8.040000
1990-01-12,8.100000
1990-01-16,8.200000
1990-01-17,8.190000
1990-01-18,8.320000
1990-01-19,8.260000
1990-01-22,8.270000
1990-01-23,8.260000
1990-01-24,8.380000
1990-01-25,8.420000
1990-01-26,8.490000
1990-01-29,8.500000
1990-01-30,8.510000
1990-01-31,8.430000
1990-02-01,8.420000
1990-02-02,8.500000
1990-02-05,8.530000
1990-02-06,8.570000
1990-02-07,8.520000
1990-02-08,8.490000
1990-02-09,8.310000
1990-02-12,8.400000
1990-02-13,8.350000
1990-02-14,8.360000
1990-02-15,8.430000
1990-02-16,8.420000
1990-02-20,8.620000
1990-02-21,8.620000
1990-02-22,8.540000
1990-02-23,8.530000
1990-02-26,8.460000
1990-02-27,8.410000
1990-02-28,8.510000
1990-03-01,8.590000
1990-03-02,8.540000
1990-03-05,8.650000
1990-03-06,8.590000
1990-03-07,8.580000
1990-03-08,8.570000
1990-03-09,8.650000
1990-03-12,8.630000
1990-03-13,8.730000
1990-03-14,8.650000
1990-03-15,8.660000
1990-03-16,8.590000
1990-03-19,8.590000
1990-03-20,8.540000
1990-03-21,8.550000
1990-03-22,8.530000
1990-03-23,8.520000
1990-03-26,8.510000
1990-03-27,8.520000
1990-03-28,8.510000
1990-03-29,8.600000
1990-03-30,8.650000
1990-04-02,8.650000
1990-04-03,8.630000
1990-04-04,8.550000
1990-04-05,8.570000
1990-04-06,8.560000
1990-04-09,8.590000
1990-04-10,8.600000
1990-04-11,8.630000
1990-04-12,8.640000
1990-04-16,8.680000
1990-04-17,8.770000
1990-04-18,8.860000
1990-04-19,8.870000
1990-04-20,8.950000
1990-04-23,8.980000
1990-04-24,9.000000
1990-04-25,9.010000
1990-04-26,9.070000
1990-04-27,9.060000
1990-04-30,9.040000
1990-05-01,9.080000
1990-05-02,9.090000
1990-05-03,9.040000
1990-05-04,8.840000
1990-05-07,8.870000
1990-05-08,8.840000
1990-05-09,8.880000
1990-05-10,8.820000
1990-05-11,8.640000
1990-05-14,8.610000
1990-05-15,8.650000
1990-05-16,8.680000
1990-05-17,8.690000
1990-05-18,8.750000
1990-05-21,8.740000
1990-05-22,8.650000
1990-05-23,8.610000
1990-05-24,8.630000
1990-05-25,8.690000
1990-05-29,8.660000
1990-05-30,8.620000
1990-05-31,8.600000
1990-06-01,8.440000
1990-06-04,8.440000
1990-06-05,8.470000
1990-06-06,8.460000
1990-06-07,8.460000
1990-06-08,8.460000
1990-06-11,8.480000
1990-06-12,8.480000
1990-06-13,8.400000
1990-06-14,8.380000
1990-06-15,8.460000
1990-06-18,8.500000
1990-06-19,8.510000
1990-06-20,8.550000
1990-06-21,8.520000
1990-06-22,8.510000
1990-06-25,8.580000
1990-06-26,8.560000
1990-06-27,8.520000
1990-06-28,8.470000
1990-06-29,8.430000
1990-07-02,8.430000
1990-07-03,8.400000
1990-07-05,8.420000
1990-07-06,8.510000
1990-07-09,8.570000
1990-07-10,8.570000
1990-07-11,8.570000
1990-07-12,8.500000
1990-07-13,8.450000
1990-07-16,8.440000
1990-07-17,8.440000
1990-07-18,8.500000
1990-07-19,8.510000
1990-07-20,8.480000
1990-07-23,8.480000
1990-07-24,8.530000
1990-07-25,8.490000
1990-07-26,8.490000
1990-07-27,8.420000
1990-07-30,8.340000
1990-07-31,8.360000
1990-08-01,8.290000
1990-08-02,8.410000
1990-08-03,8.430000
1990-08-06,8.710000
1990-08-07,8.780000
1990-08-08,8.770000
1990-08-09,8.660000
1990-08-10,8.680000
1990-08-13,8.710000
1990-08-14,8.660000
1990-08-15,8.640000
1990-08-16,8.760000
1990-08-17,8.800000
1990-08-20,8.810000
1990-08-21,8.840000
1990-08-22,8.910000
1990-08-23,9.000000
1990-08-24,9.050000
1990-08-27,8.900000
1990-08-28,8.940000
1990-08-29,8.840000
1990-08-30,8.860000
1990-08-31,8.860000
1990-09-04,8.900000
1990-09-05,8.860000
1990-09-06,8.840000
1990-09-07,8.810000
1990-09-10,8.850000
1990-09-11,8.830000
1990-09-12,8.820000
1990-09-13,8.820000
1990-09-14,8.870000
1990-09-17,8.900000
1990-09-18,8.900000
1990-09-19,8.880000
1990-09-20,8.910000
1990-09-21,8.990000
1990-09-24,9.040000
1990-09-25,9.020000
1990-09-26,9.000000
1990-09-27,8.910000
1990-09-28,8.820000
1990-10-01,8.710000
1990-10-02,8.690000
1990-10-03,8.710000
1990-10-04,8.670000
1990-10-05,8.650000
1990-10-09,8.830000
1990-10-10,8.890000
1990-10-11,8.920000
1990-10-12,8.840000
1990-10-15,8.800000
1990-10-16,8.790000
1990-10-17,8.760000
1990-10-18,8.710000
1990-10-19,8.620000
1990-10-22,8.630000
1990-10-23,8.650000
1990-10-24,8.660000
1990-10-25,8.620000
1990-10-26,8.630000
1990-10-29,8.700000
1990-10-30,8.700000
1990-10-31,8.650000
1990-11-01,8.570000
1990-11-02,8.570000
1990-11-05,8.500000
1990-11-06,8.520000
1990-11-07,8.570000
1990-11-08,8.580000
1990-11-09,8.490000
1990-11-13,8.370000
1990-11-14,8.360000
1990-11-15,8.370000
1990-11-16,8.300000
1990-11-19,8.350000
1990-11-20,8.310000
1990-11-21,8.270000
1990-11-23,8.280000
1990-11-26,8.270000
1990-11-27,8.280000
1990-11-28,8.300000
1990-11-29,8.320000
1990-11-30,8.260000
1990-12-03,8.220000
1990-12-04,8.200000
1990-12-05,8.160000
1990-12-06,8.180000
1990-12-07,8.030000
1990-12-10,7.980000
1990-12-11,7.940000
1990-12-12,7.910000
1990-12-13,7.980000
1990-12-14,8.050000
1990-12-17,8.020000
1990-12-18,7.990000
1990-12-19,8.000000
1990-12-20,8.050000
1990-12-21,8.110000
1990-12-24,8.200000
1990-12-26,8.150000
1990-12-27,8.110000
1990-12-28,8.140000
1990-12-31,8.080000
1991-01-02,7.970000
1991-01-03,7.930000
1991-01-04,8.020000
1991-01-07,8.130000
1991-01-08,8.160000
1991-01-09,8.250000
1991-01-10,8.160000
1991-01-11,8.200000
1991-01-14,8.230000
1991-01-15,8.220000
1991-01-16,8.240000
1991-01-17,8.050000
1991-01-18,8.030000
1991-01-22,8.070000
1991-01-23,8.040000
1991-01-24,8.000000
1991-01-25,8.060000
1991-01-28,8.060000
1991-01-29,8.030000
1991-01-30,8.050000
1991-01-31,8.030000
1991-02-01,7.910000
1991-02-04,7.880000
1991-02-05,7.850000
1991-02-06,7.790000
1991-02-07,7.820000
1991-02-08,7.770000
1991-02-11,7.780000
1991-02-12,7.780000
1991-02-13,7.780000
1991-02-14,7.800000
1991-02-15,7.780000
1991-02-19,7.800000
1991-02-20,7.840000
1991-02-21,7.880000
1991-02-22,7.910000
1991-02-25,7.910000
1991-02-26,7.960000
1991-02-27,7.980000
1991-02-28,8.020000
1991-03-01,8.120000
1991-03-04,8.120000
1991-03-05,8.080000
1991-03-06,8.110000
1991-03-07,8.070000
1991-03-08,8.130000
1991-03-11,8.060000
1991-03-12,8.090000
1991-03-13,8.020000
1991-03-14,8.020000
1991-03-15,8.100000
1991-03-18,8.150000
1991-03-19,8.250000
1991-03-20,8.200000
1991-03-21,8.160000
1991-03-22,8.130000
1991-03-25,8.130000
1991-03-26,8.130000
1991-03-27,8.080000
1991-03-28,8.050000
1991-04-01,8.070000
1991-04-02,8.030000
1991-04-03,8.050000
1991-04-04,8.000000
1991-04-05,7.990000
1991-04-08,7.980000
1991-04-09,8.030000
1991-04-10,8.100000
1991-04-11,8.090000
1991-04-12,7.980000
1991-04-15,7.950000
1991-04-16,7.970000
1991-04-17,7.950000
1991-04-18,8.020000
1991-04-19,8.100000
1991-04-22,8.150000
1991-04-23,8.120000
1991-04-24,8.060000
1991-04-25,8.070000
1991-04-26,8.060000
1991-04-29,8.070000
1991-04-30,8.020000
1991-05-01,8.010000
1991-05-02,7.970000
1991-05-03,8.040000
1991-05-06,8.050000
1991-05-07,8.060000
1991-05-08,8.040000
1991-05-09,8.020000
1991-05-10,8.120000
1991-05-13,8.070000
1991-05-14,8.140000
1991-05-15,8.130000
1991-05-16,8.120000
1991-05-17,8.080000
1991-05-20,8.100000
1991-05-21,8.060000
1991-05-22,8.060000
1991-05-23,8.100000
1991-05-24,8.100000
1991-05-28,8.070000
1991-05-29,8.070000
1991-05-30,8.020000
1991-05-31,8.060000
1991-06-03,8.140000
1991-06-04,8.140000
1991-06-05,8.190000
1991-06-06,8.230000
1991-06-07,8.290000
1991-06-10,8.290000
1991-06-11,8.290000
1991-06-12,8.360000
1991-06-13,8.340000
1991-06-14,8.290000
1991-06-17,8.300000
1991-06-18,8.320000
1991-06-19,8.330000
1991-06-20,8.300000
1991-06-21,8.320000
1991-06-24,8.330000
1991-06-25,8.330000
1991-06-26,8.330000
1991-06-27,8.320000
1991-06-28,8.240000
1991-07-01,8.260000
1991-07-02,8.270000
1991-07-03,8.260000
1991-07-05,8.340000
1991-07-08,8.340000
1991-07-09,8.360000
1991-07-10,8.350000
1991-07-11,8.300000
1991-07-12,8.260000
1991-07-15,8.260000
1991-07-16,8.270000
1991-07-17,8.300000
1991-07-18,8.310000
1991-07-19,8.280000
1991-07-22,8.280000
1991-07-23,8.310000
1991-07-24,8.240000
1991-07-25,8.200000
1991-07-26,8.200000
1991-07-29,8.200000
1991-07-30,8.210000
1991-07-31,8.200000
1991-08-01,8.200000
1991-08-02,8.060000
1991-08-05,8.040000
1991-08-06,7.970000
1991-08-07,7.930000
1991-08-08,7.980000
1991-08-09,7.980000
1991-08-12,7.950000
1991-08-13,7.910000
1991-08-14,7.820000
1991-08-15,7.840000
1991-08-16,7.840000
1991-08-19,7.830000
1991-08-20,7.810000
1991-08-21,7.800000
1991-08-22,7.780000
1991-08-23,7.880000
1991-08-26,7.910000
1991-08-27,7.890000
1991-08-28,7.820000
1991-08-29,7.740000
1991-08-30,7.820000
1991-09-03,7.810000
1991-09-04,7.810000
1991-09-05,7.830000
1991-09-06,7.760000
1991-09-09,7.730000
1991-09-10,7.730000
1991-09-11,7.740000
1991-09-12,7.670000
1991-09-13,7.660000
1991-09-16,7.630000
1991-09-17,7.620000
1991-09-18,7.620000
1991-09-19,7.610000
1991-09-20,7.570000
1991-09-23,7.550000
1991-09-24,7.560000
1991-09-25,7.580000
1991-09-26,7.560000
1991-09-27,7.490000
1991-09-30,7.470000
1991-10-01,7.450000
1991-10-02,7.470000
1991-10-03,7.470000
1991-10-04,7.390000
1991-10-07,7.400000
1991-10-08,7.430000
1991-10-09,7.510000
1991-10-10,7.580000
1991-10-11,7.490000
1991-10-15,7.460000
1991-10-16,7.450000
1991-10-17,7.550000
1991-10-18,7.530000
1991-10-21,7.620000
1991-10-22,7.670000
1991-10-23,7.690000
1991-10-24,7.650000
1991-10-25,7.680000
1991-10-28,7.650000
1991-10-29,7.510000
1991-10-30,7.480000
1991-10-31,7.470000
1991-11-01,7.480000
1991-11-04,7.500000
1991-11-05,7.560000
1991-11-06,7.510000
1991-11-07,7.430000
1991-11-08,7.410000
1991-11-12,7.370000
1991-11-13,7.410000
1991-11-14,7.350000
1991-11-15,7.330000
1991-11-18,7.330000
1991-11-19,7.370000
1991-11-20,7.380000
1991-11-21,7.390000
1991-11-22,7.440000
1991-11-25,7.450000
1991-11-26,7.420000
1991-11-27,7.420000
1991-11-29,7.380000
1991-12-02,7.320000
1991-12-03,7.280000
1991-12-04,7.170000
1991-12-05,7.210000
1991-12-06,7.260000
1991-12-09,7.220000
1991-12-10,7.210000
1991-12-11,7.220000
1991-12-12,7.190000
1991-12-13,7.220000
1991-12-16,7.210000
1991-12-17,7.180000
1991-12-18,7.190000
1991-12-19,7.110000
1991-12-20,6.970000
1991-12-23,6.880000
1991-12-24,6.880000
1991-12-26,6.850000
1991-12-27,6.820000
1991-12-30,6.760000
1991-12-31,6.710000
1992-01-02,6.780000
1992-01-03,6.850000
1992-01-06,6.820000
1992-01-07,6.760000
1992-01-08,6.770000
1992-01-09,6.790000
1992-01-10,6.850000
1992-01-13,6.920000
1992-01-14,7.030000
1992-01-15,7.050000
1992-01-16,7.130000
1992-01-17,7.090000
1992-01-21,7.030000
1992-01-22,7.090000
1992-01-23,7.200000
1992-01-24,7.250000
1992-01-27,7.240000
1992-01-28,7.160000
1992-01-29,7.250000
1992-01-30,7.310000
1992-01-31,7.310000
1992-02-03,7.360000
1992-02-04,7.290000
1992-02-05,7.210000
1992-02-06,7.200000
1992-02-07,7.200000
1992-02-10,7.210000
1992-02-11,7.230000
1992-02-12,7.300000
1992-02-13,7.400000
1992-02-14,7.410000
1992-02-18,7.470000
1992-02-19,7.420000
1992-02-20,7.410000
1992-02-21,7.450000
1992-02-24,7.470000
1992-02-25,7.440000
1992-02-26,7.330000
1992-02-27,7.350000
1992-02-28,7.270000
1992-03-02,7.380000
1992-03-03,7.430000
1992-03-04,7.430000
1992-03-05,7.510000
1992-03-06,7.480000
1992-03-09,7.420000
1992-03-10,7.430000
1992-03-11,7.510000
1992-03-12,7.620000
1992-03-13,7.710000
1992-03-16,7.690000
1992-03-17,7.620000
1992-03-18,7.620000
1992-03-19,7.570000
1992-03-20,7.640000
1992-03-23,7.620000
1992-03-24,7.530000
1992-03-25,7.530000
1992-03-26,7.570000
1992-03-27,7.540000
1992-03-30,7.540000
1992-03-31,7.540000
1992-04-01,7.460000
1992-04-02,7.470000
1992-04-03,7.420000
1992-04-06,7.410000
1992-04-07,7.410000
1992-04-08,7.440000
1992-04-09,7.350000
1992-04-10,7.370000
1992-04-13,7.330000
1992-04-14,7.350000
1992-04-15,7.370000
1992-04-16,7.450000
1992-04-20,7.590000
1992-04-21,7.580000
1992-04-22,7.570000
1992-04-23,7.590000
1992-04-24,7.550000
1992-04-27,7.600000
1992-04-28,7.570000
1992-04-29,7.600000
1992-04-30,7.610000
1992-05-01,7.560000
1992-05-04,7.580000
1992-05-05,7.560000
1992-05-06,7.460000
1992-05-07,7.490000
1992-05-08,7.410000
1992-05-11,7.400000
1992-05-12,7.360000
1992-05-13,7.340000
1992-05-14,7.340000
1992-05-15,7.280000
1992-05-18,7.280000
1992-05-19,7.200000
1992-05-20,7.250000
1992-05-21,7.390000
1992-05-22,7.350000
1992-05-26,7.460000
1992-05-27,7.440000
1992-05-28,7.360000
1992-05-29,7.330000
1992-06-01,7.390000
1992-06-02,7.350000
1992-06-03,7.340000
1992-06-04,7.340000
1992-06-05,7.310000
1992-06-08,7.310000
1992-06-09,7.330000
1992-06-10,7.350000
1992-06-11,7.330000
1992-06-12,7.290000
1992-06-15,7.280000
1992-06-16,7.240000
1992-06-17,7.230000
1992-06-18,7.190000
1992-06-19,7.240000
1992-06-22,7.240000
1992-06-23,7.250000
1992-06-24,7.200000
1992-06-25,7.140000
1992-06-26,7.150000
1992-06-29,7.120000
1992-06-30,7.140000
1992-07-01,7.100000
1992-07-02,6.930000
1992-07-06,6.900000
1992-07-07,6.870000
1992-07-08,6.910000
1992-07-09,6.910000
1992-07-10,6.930000
1992-07-13,6.970000
1992-07-14,6.970000
1992-07-15,6.900000
1992-07-16,6.870000
1992-07-17,6.900000
1992-07-20,6.900000
1992-07-21,6.890000
1992-07-22,6.850000
1992-07-23,6.720000
1992-07-24,6.730000
1992-07-27,6.690000
1992-07-28,6.630000
1992-07-29,6.600000
1992-07-30,6.690000
1992-07-31,6.720000
1992-08-03,6.720000
1992-08-04,6.660000
1992-08-05,6.640000
1992-08-06,6.650000
1992-08-07,6.570000
1992-08-10,6.520000
1992-08-11,6.500000
1992-08-12,6.480000
